replay	leg	verdict
01_attract_long	10	END 7320
01_attract_long	11	END 7320
01_attract_long	13	END 7320
01_attract_long	none	END 7320
02_demitri_vs_cpu	10	END 5520
02_demitri_vs_cpu	11	END 5520
02_demitri_vs_cpu	13	END 5520
02_demitri_vs_cpu	none	END 5520
03_two_player_vs	10	END 5320
03_two_player_vs	11	END 5320
03_two_player_vs	13	END 5320
03_two_player_vs	none	END 5320
04_select_fuzz	10	END 3520
04_select_fuzz	11	END 3520
04_select_fuzz	13	END 3520
04_select_fuzz	none	END 3520
05_timeout_idle	10	END 12120
05_timeout_idle	11	END 12120
05_timeout_idle	13	END 12120
05_timeout_idle	none	END 12120
06_test_mode	10	END 3120
06_test_mode	11	END 3120
06_test_mode	13	END 3120
06_test_mode	none	END 3120
07_mash_storm	10	END 4320
07_mash_storm	11	END 4320
07_mash_storm	13	END 4320
07_mash_storm	none	END 4320
08_challenger_join	10	END 6920
08_challenger_join	11	END 6920
08_challenger_join	13	END 6920
08_challenger_join	none	END 6920
09_mirror_pick	10	END 4720
09_mirror_pick	11	END 4720
09_mirror_pick	13	END 4720
09_mirror_pick	none	END 4720
103_tenant_2pwin_auto	10	END 9620
103_tenant_2pwin_auto	11	END 9620
103_tenant_2pwin_auto	13	END 9620
103_tenant_2pwin_auto	none	END 9620
104_1p_auto_ko_win	10	END 13620
104_1p_auto_ko_win	11	END 13620
104_1p_auto_ko_win	13	END 13620
104_1p_auto_ko_win	none	END 13620
105_projectile_clash_ctl	10	END 5620
105_projectile_clash_ctl	11	END 5620
105_projectile_clash_ctl	13	END 5620
105_projectile_clash_ctl	none	END 5620
106_pyron_cosmo_clash	10	END 6120
106_pyron_cosmo_clash	11	END 6120
106_pyron_cosmo_clash	13	END 6120
106_pyron_cosmo_clash	none	END 6120
107_four_directions	10	END 520
107_four_directions	11	END 520
107_four_directions	13	END 520
107_four_directions	none	END 520
108_tenant_voice	10	END 3820
108_tenant_voice	11	END 3820
108_tenant_voice	13	END 3820
108_tenant_voice	none	END 3820
109_2p_don_vs_phobos	10	END 7120
109_2p_don_vs_phobos	11	END 7120
109_2p_don_vs_phobos	13	END 7120
109_2p_don_vs_phobos	none	END 7120
10_midattract_start	10	END 6120
10_midattract_start	11	END 6120
10_midattract_start	13	END 6120
10_midattract_start	none	END 6120
110_don_arcade_mash	10	END 40620
110_don_arcade_mash	11	END 40620
110_don_arcade_mash	13	END 40620
110_don_arcade_mash	none	END 40620
112_don_pod_merged	10	END 3920
112_don_pod_merged	11	END 3920
112_don_pod_merged	13	END 3920
112_don_pod_merged	none	END 3920
112_don_pod_vsav2	10	END 3920
112_don_pod_vsav2	11	END 3920
112_don_pod_vsav2	13	END 3920
112_don_pod_vsav2	none	END 3920
11_pick_donovan	10	END 3720
11_pick_donovan	11	END 3720
11_pick_donovan	13	END 3720
11_pick_donovan	none	END 3720
12_donovan_vs_cpu	10	END 9320
12_donovan_vs_cpu	11	END 9320
12_donovan_vs_cpu	13	END 9320
12_donovan_vs_cpu	none	END 9320
16_xemu_2p	10	END 4320
16_xemu_2p	11	END 4320
16_xemu_2p	13	END 4320
16_xemu_2p	none	END 4320
17_don_oracle_vsav2	10	END 4420
17_don_oracle_vsav2	11	END 4420
17_don_oracle_vsav2	13	END 4420
17_don_oracle_vsav2	none	END 4420
17_don_oracle_vsavj	10	END 4420
17_don_oracle_vsavj	11	END 4420
17_don_oracle_vsavj	13	END 4420
17_don_oracle_vsavj	none	END 4420
18_veteran_ctl_vsav2	10	END 4420
18_veteran_ctl_vsav2	11	END 4420
18_veteran_ctl_vsav2	13	END 4420
18_veteran_ctl_vsav2	none	END 4420
18_veteran_ctl_vsavj	10	END 4420
18_veteran_ctl_vsavj	11	END 4420
18_veteran_ctl_vsavj	13	END 4420
18_veteran_ctl_vsavj	none	END 4420
19_don_dp_spam	10	END 5930
19_don_dp_spam	11	END 5930
19_don_dp_spam	13	END 5930
19_don_dp_spam	none	END 5930
20_don_round2	10	END 12120
20_don_round2	11	END 12120
20_don_round2	13	END 12120
20_don_round2	none	END 12120
21_don_mash	10	END 14120
21_don_mash	11	END 14120
21_don_mash	13	END 14120
21_don_mash	none	END 14120
22_don_dualmash	10	END 13920
22_don_dualmash	11	END 13920
22_don_dualmash	13	END 13920
22_don_dualmash	none	END 13920
23_don_matchwin	10	END 18120
23_don_matchwin	11	END 18120
23_don_matchwin	13	END 18120
23_don_matchwin	none	END 18120
24_don_winmash	10	END 18520
24_don_winmash	11	END 18520
24_don_winmash	13	END 18520
24_don_winmash	none	END 18520
25_don_darkforce	10	END 9120
25_don_darkforce	11	END 9120
25_don_darkforce	13	END 9120
25_don_darkforce	none	END 9120
26_don_arcade_mash	10	END 40620
26_don_arcade_mash	11	END 40620
26_don_arcade_mash	13	END 40620
26_don_arcade_mash	none	END 40620
27_don_throw_vsav2	10	END 4520
27_don_throw_vsav2	11	END 4520
27_don_throw_vsav2	13	END 4520
27_don_throw_vsav2	none	END 4520
27_don_throw_vsavj	10	END 4520
27_don_throw_vsavj	11	END 4520
27_don_throw_vsavj	13	END 4520
27_don_throw_vsavj	none	END 4520
28_don_quotewin	10	END 14620
28_don_quotewin	11	END 14620
28_don_quotewin	13	END 14620
28_don_quotewin	none	END 14620
29_felicia_walljump	10	END 4320
29_felicia_walljump	11	END 4320
29_felicia_walljump	13	END 4320
29_felicia_walljump	none	END 4320
30_demitri_throw	10	END 4720
30_demitri_throw	11	END 4720
30_demitri_throw	13	END 4720
30_demitri_throw	none	END 4720
31_don_6hp_vsav2	10	END 4220
31_don_6hp_vsav2	11	END 4220
31_don_6hp_vsav2	13	END 4220
31_don_6hp_vsav2	none	END 4220
31_don_6hp_vsavj	10	END 4220
31_don_6hp_vsavj	11	END 4220
31_don_6hp_vsavj	13	END 4220
31_don_6hp_vsavj	none	END 4220
32_victor_shock_vsav2	10	END 3820
32_victor_shock_vsav2	11	END 3820
32_victor_shock_vsav2	13	END 3820
32_victor_shock_vsav2	none	END 3820
32_victor_shock_vsavj	10	END 3820
32_victor_shock_vsavj	11	END 3820
32_victor_shock_vsavj	13	END 3820
32_victor_shock_vsavj	none	END 3820
33_victor_6hp_vsav2	10	END 3220
33_victor_6hp_vsav2	11	END 3220
33_victor_6hp_vsav2	13	END 3220
33_victor_6hp_vsav2	none	END 3220
33_victor_6hp_vsavj	10	END 3220
33_victor_6hp_vsavj	11	END 3220
33_victor_6hp_vsavj	13	END 3220
33_victor_6hp_vsavj	none	END 3220
34_victor_5hp_vsav2	10	END 3320
34_victor_5hp_vsav2	11	END 3320
34_victor_5hp_vsav2	13	END 3320
34_victor_5hp_vsav2	none	END 3320
34_victor_5hp_vsavj	10	END 3320
34_victor_5hp_vsavj	11	END 3320
34_victor_5hp_vsavj	13	END 3320
34_victor_5hp_vsavj	none	END 3320
35_victor_kd_vsav2	10	END 3270
35_victor_kd_vsav2	11	END 3270
35_victor_kd_vsav2	13	END 3270
35_victor_kd_vsav2	none	END 3270
35_victor_kd_vsavj	10	END 3270
35_victor_kd_vsavj	11	END 3270
35_victor_kd_vsavj	13	END 3270
35_victor_kd_vsavj	none	END 3270
36_pick_tenant_cell	10	END 3720
36_pick_tenant_cell	11	END 3720
36_pick_tenant_cell	13	END 3720
36_pick_tenant_cell	none	END 3720
36_victor_kd2_vsav2	10	END 3270
36_victor_kd2_vsav2	11	END 3270
36_victor_kd2_vsav2	13	END 3270
36_victor_kd2_vsav2	none	END 3270
36_victor_kd2_vsavj	10	END 3270
36_victor_kd2_vsavj	11	END 3270
36_victor_kd2_vsavj	13	END 3270
36_victor_kd2_vsavj	none	END 3270
37_p2_pick_tenant	10	END 4320
37_p2_pick_tenant	11	END 4320
37_p2_pick_tenant	13	END 4320
37_p2_pick_tenant	none	END 4320
37_pick_huitzil_cell	10	END 3720
37_pick_huitzil_cell	11	END 3720
37_pick_huitzil_cell	13	END 3720
37_pick_huitzil_cell	none	END 3720
37_victor_ko_vsav2	10	END 7020
37_victor_ko_vsav2	11	END 7020
37_victor_ko_vsav2	13	END 7020
37_victor_ko_vsav2	none	END 7020
37_victor_ko_vsavj	10	END 9680
37_victor_ko_vsavj	11	END 9680
37_victor_ko_vsavj	13	END 9680
37_victor_ko_vsavj	none	END 9680
38_victor_p1_vsavj	10	END 5000
38_victor_p1_vsavj	11	END 5000
38_victor_p1_vsavj	13	END 5000
38_victor_p1_vsavj	none	END 5000
39_victor_cross_vsavj	10	END 4830
39_victor_cross_vsavj	11	END 4830
