frame 1 PC 000926 D0 00000000 D1 00000000 A0 00000000 A1 00000000 A2 00000000 A3 00000000 A4 00000000 A6 00000000
frame 2 PC 000e48 D0 00000000 D1 00760001 A0 00708384 A1 0090d7fe A2 00000eec A3 00760001 A4 000009dc A6 00760001
frame 3 PC 000e66 D0 00000000 D1 00760001 A0 00708384 A1 0090d7fe A2 00000eec A3 00760001 A4 000009dc A6 00760001
frame 66 PC 000d36 D0 00000000 D1 00000001 A0 00708380 A1 00709ffe A2 00000fda A3 00708000 A4 000009f4 A6 00000b02
frame 67 PC 000d3c D0 00000000 D1 00000001 A0 00708384 A1 00709ffe A2 00000fda A3 00708000 A4 000009f4 A6 00000b02
frame 69 PC 000d36 D0 ffffffff D1 00000000 A0 00708380 A1 00709ffe A2 00000fda A3 00708000 A4 000009f4 A6 00000b02
frame 70 PC 000d3c D0 ffffffff D1 00000000 A0 00708384 A1 00709ffe A2 00000fda A3 00708000 A4 000009f4 A6 00000b02
frame 78 PC 000e48 D0 00000000 D1 00000000 A0 00708384 A1 00907fff A2 00001003 A3 00618000 A4 00000b74 A6 00000b48
frame 80 PC 000e66 D0 00000000 D1 00000000 A0 00708384 A1 00907fff A2 00001003 A3 00618000 A4 00000b74 A6 00000b48
frame 1302 PC 019cf2 D0 0000e0a0 D1 00002070 A0 002a6902 A1 003038a8 A2 00708380 A3 00ff31f0 A4 ffffba00 A6 ffffba00
frame 1304 PC 019cf2 D0 0000e05d D1 00002068 A0 002a6722 A1 003037b0 A2 00708380 A3 00ff31ee A4 ffffbc80 A6 ffffd800
frame 1306 PC 019cf2 D0 0000e05d D1 00002068 A0 002a6722 A1 003037b0 A2 00708380 A3 00ff31ee A4 ffffbc80 A6 ffffd800
frame 1308 PC 019cf2 D0 0000e05d D1 00002068 A0 002a6722 A1 003037b0 A2 00708380 A3 00ff31ee A4 ffffbc80 A6 ffffd800
frame 1310 PC 019cf2 D0 0000e05d D1 00002068 A0 002a6722 A1 003037b0 A2 00708380 A3 00ff31ee A4 ffffbc80 A6 ffffd800
frame 1312 PC 019cf2 D0 0000e0a0 D1 00002060 A0 002a68fe A1 003038a4 A2 00708380 A3 00ff31f0 A4 ffffba00 A6 ffffba00
frame 1314 PC 019cf2 D0 0000e0a0 D1 00002060 A0 002a68fe A1 003038a4 A2 00708380 A3 00ff31f0 A4 ffffba00 A6 ffffba00
frame 1316 PC 019cf2 D0 0000e0a0 D1 00002060 A0 002a68fe A1 003038a4 A2 00708380 A3 00ff31f0 A4 ffffba00 A6 ffffba00
frame 1318 PC 019674 D0 0000e0b0 D1 00002080 A0 002a690e A1 003038b4 A2 00708384 A3 00ff31f0 A4 00ff8180 A6 00fff400
frame 1320 PC 019674 D0 0000e0b0 D1 00002080 A0 002a690e A1 003038b4 A2 00708384 A3 00ff31f0 A4 00ff8180 A6 00fff400
frame 1322 PC 019674 D0 0000e0b0 D1 00002080 A0 002a690e A1 003038b4 A2 00708384 A3 00ff31f0 A4 00ff8180 A6 00fff400
frame 1328 PC 019674 D0 0000e0b0 D1 00002080 A0 002a690e A1 003038b4 A2 00708384 A3 00ff31f0 A4 00ff8180 A6 00fff400
frame 1330 PC 019674 D0 0000e0b0 D1 00002080 A0 002a690e A1 003038b4 A2 00708384 A3 00ff31f0 A4 00ff8180 A6 00fff400
frame 1332 PC 019cf2 D0 0000e08d D1 00002068 A0 002a672e A1 003037bc A2 00708380 A3 00ff31ee A4 ffffbc80 A6 ffffd800
frame 1334 PC 019cf2 D0 0000e08d D1 00002068 A0 002a672e A1 003037bc A2 00708380 A3 00ff31ee A4 ffffbc80 A6 ffffd800
frame 1336 PC 019cf2 D0 0000e08d D1 00002068 A0 002a672e A1 003037bc A2 00708380 A3 00ff31ee A4 ffffbc80 A6 ffffd800
